"feature_set","factor","pval","padj","sign","view"
"GOBP_PROTEIN_PROCESSING","Factor1",0.237581384856118,0.610355524274713,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS","Factor1",0.243141767847588,0.616896882059582,"negative","Redox"
"GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS","Factor1",0.0335007815202958,0.62331757131702,"positive","Redox"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","Factor1",0.249468948276036,0.625199731597902,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE","Factor1",0.248220402219014,0.625199731597902,"negative","Redox"
"GOCC_BASAL_PART_OF_CELL","Factor1",0.252879991808979,0.626081915204488,"negative","Redox"
"GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ESTER_BONDS","Factor1",0.252200937354984,0.626081915204488,"negative","Redox"
"GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY","Factor1",0.258964247425883,0.636016191677969,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","Factor1",0.264730977973187,0.638103213291127,"negative","Redox"
"GOBP_RESPONSE_TO_OXIDATIVE_STRESS","Factor1",0.272713702456853,0.651541686025323,"negative","Redox"
"GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION","Factor1",0.298090476110895,0.6583724904032,"negative","Redox"
"GOBP_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","Factor1",0.286213521957964,0.6583724904032,"negative","Redox"
"GOBP_REGULATION_OF_CELL_ADHESION","Factor1",0.280000466118004,0.6583724904032,"negative","Redox"
"GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","Factor1",0.297856945680427,0.6583724904032,"negative","Redox"
"GOCC_CELL_CORTEX","Factor1",0.29224651712087,0.6583724904032,"negative","Redox"
"GOBP_MUSCLE_SYSTEM_PROCESS","Factor1",0.0367186655872565,0.66309590207575,"positive","Redox"
"GOBP_CIRCULATORY_SYSTEM_PROCESS","Factor1",0.0381577517998481,0.669395988717335,"positive","Redox"
"GOCC_SECRETORY_VESICLE","Factor1",0.306970397194773,0.670746704190714,"negative","Redox"
"GOBP_LIPID_MODIFICATION","Factor1",0.306714475836075,0.670746704190714,"negative","Redox"
"GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS","Factor1",0.312971901054354,0.67480829454635,"negative","Redox"
"GOBP_REGULATION_OF_CELL_DIFFERENTIATION","Factor1",0.313225348445781,0.67480829454635,"negative","Redox"
"GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT","Factor1",0.312971901054354,0.67480829454635,"negative","Redox"
"GOBP_CELL_ACTIVATION","Factor1",0.323156304770034,0.691159841101198,"negative","Redox"
"GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS","Factor1",0.324192238171246,0.691159841101198,"negative","Redox"
"GOBP_RESPONSE_TO_NITROGEN_COMPOUND","Factor1",0.328744160458878,0.698439150594295,"negative","Redox"
"GOBP_CELLULAR_RESPONSE_TO_LIPID","Factor1",0.341392665087755,0.70172311798971,"negative","Redox"
"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT","Factor1",0.341801402615441,0.70172311798971,"negative","Redox"
"GOBP_CYTOKINE_PRODUCTION","Factor1",0.346115729502099,0.70172311798971,"negative","Redox"
"GOBP_EPITHELIUM_DEVELOPMENT","Factor1",0.331788895577359,0.70172311798971,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","Factor1",0.33604791309923,0.70172311798971,"negative","Redox"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE","Factor1",0.334803226081335,0.70172311798971,"negative","Redox"
"GOBP_RESPONSE_TO_STEROID_HORMONE","Factor1",0.336873909257074,0.70172311798971,"negative","Redox"
"GOMF_EXTRACELLULAR_MATRIX_BINDING","Factor1",0.347048320803084,0.70172311798971,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION","Factor1",0.348847934223621,0.702270923322306,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION","Factor1",0.354893435433638,0.7051927810882,"negative","Redox"
"GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL","Factor1",0.0438718664920009,0.708877000686541,"positive","Redox"
"GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION","Factor1",0.0431121686576923,0.708877000686541,"positive","Redox"
"GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","Factor1",0.0438491445392249,0.708877000686541,"positive","Redox"
"GOBP_CELL_SUBSTRATE_ADHESION","Factor1",0.365033672748326,0.712297958271742,"negative","Redox"
"GOBP_CELLULAR_HOMEOSTASIS","Factor1",0.368064291388187,0.712297958271742,"negative","Redox"
"GOBP_LIPID_OXIDATION","Factor1",0.366900949498881,0.712297958271742,"negative","Redox"
"GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","Factor1",0.363952615873602,0.712297958271742,"negative","Redox"
